Rank,Word,Count
1,the,11180
2,to,6886
3,@realdonaldtrump,6059
4,a,5738
5,is,4924
6,you,4917
7,in,4310
8,and,4211
9,of,4145
10,for,3807
11,i,3716
12,on,3140
13,trump,2875
14,be,2657
15,great,2439
16,it,2151
17,will,2150
18,rt,2007
19,are,1850
20,at,1825
21,that,1736
22,with,1635
23,my,1600
24,amp,1561
25,have,1547
26,he,1509
27,your,1474
28,we,1408
29,this,1326
30,thanks,1272
31,not,1196
32,our,1171
33,all,1094
34,was,1056
35,president,1050
36,thank,1048
37,has,999
38,just,999
39,by,998
40,donald,994
41,so,965
42,what,934
43,his,928
44,as,897
45,do,886
46,from,882
47,they,866
48,us,818
49,like,817
50,would,802
51,if,792
52,about,777
53,people,775
54,obama,770
55,can,766
56,me,745
57,but,742
58,new,740
59,get,731
60,who,724
61,no,715
62,one,694
63,out,678
64,very,673
65,good,670
66,america,656
67,an,650
68,make,642
69,should,641
70,time,633
71,run,622
72,more,612
73,#trump,610
74,best,610
75,now,603
76,country,601
77,up,585
78,think,571
79,its,560
80,dont,552
81,when,544
82,how,536
83,only,532
84,am,527
85,love,516
86,need,506
87,see,496
88,via,496
89,why,483
90,true,470
91,never,466
92,big,463
93,than,461
94,going,461
95,again,458
96,him,452
97,really,441
98,or,440
99,over,417
100,back,415
101,mr,410
102,golf,408
103,vote,402
104,many,393
105,@barackobama,390
106,much,389
107,last,387
108,go,387
109,know,386
110,show,382
111,day,373
112,cont,370
113,today,366
114,job,366
115,cant,362
116,im,357
117,there,355
118,amazing,355
119,@apprenticenbc,348
120,their,347
121,them,347
122,interview,346
123,been,345
124,work,339
125,want,331
126,better,328
127,were,325
128,being,322
129,did,322
130,course,320
131,nice,319
132,right,312
133,keep,310
134,real,308
135,world,308
136,doing,305
137,must,305
138,had,304
139,@trumpdoral,304
140,tonight,303
141,watch,302
142,#celebapprentice,302
143,man,297
144,way,295
145,even,294
146,#makeamericagreatagain,291
147,win,290
148,needs,288
149,poll,285
150,always,285
151,business,284
152,china,280
153,hope,279
154,deal,279
155,ever,276
156,most,275
157,please,273
158,bad,270
159,first,267
160,@foxnews,266
161,night,265
162,because,263
163,youre,263
164,@ivankatrump,263
165,@mittromney,263
166,take,257
167,say,257
168,got,252
169,money,250
170,could,250
171,said,249
172,obamacare,245
173,look,242
174,years,241
175,looking,238
176,national,237
177,down,237
178,next,236
179,made,235
180,hotel,229
181,well,227
182,into,225
183,another,224
184,after,220
185,give,220
186,u,219
187,beautiful,219
188,she,217
189,@foxandfriends,217
190,apprentice,212
191,done,211
192,debate,210
193,pm,210
194,–,209
195,some,208
196,success,205
197,american,204
198,here,203
199,happy,203
200,forward,202
201,other,201
202,too,200
203,her,199
204,#,196
205,does,194
206,every,193
207,jobs,192
208,guy,188
209,smart,186
210,year,185
211,office,183
212,believe,181
213,hes,181
214,live,180
215,hard,180
216,stop,179
217,speech,178
218,th,178
219,record,177
220,agree,176
221,come,176
222,sure,175
223,doesnt,174
224,news,174
225,support,172
226,everyone,170
227,fantastic,170
228,where,169
229,read,169
230,tomorrow,169
231,enjoy,169
232,@donaldjtrumpjr,167
233,wait,167
234,then,166
235,congratulations,164
236,any,163
237,things,163
238,book,162
239,total,162
240,wow,161
241,top,161
242,tower,161
243,nothing,160
244,against,159
245,place,159
246,http…,159
247,off,158
248,week,157
249,@cnn,157
250,doral,156
251,thats,155
252,leader,155
253,discussing,155
254,bush,154
255,scotland,153
256,@erictrump,152
257,gop,151
258,yes,150
259,running,150
260,morning,149
261,truth,149
262,campaign,147
263,still,147
264,which,147
265,also,147
266,miss,146
267,long,146
268,stay,146
269,house,146
270,own,144
271,life,144
272,person,143
273,soon,143
274,watching,142
275,celebrity,142
276,chicago,142
277,before,141
278,help,141
279,entrepreneurs,141
280,@trumpcollection,139
281,getting,138
282,wind,138
283,talk,137
284,usa,136
285,making,136
286,family,136
287,w,136
288,wonderful,136
289,ratings,135
290,ill,135
291,while,135
292,these,134
293,congrats,134
294,remember,134
295,thing,133
296,two,133
297,iran,133
298,season,133
299,terrible,132
300,election,132
301,awesome,131
302,change,131
303,old,129
304,far,129
305,york,129
306,leadership,129
307,tough,128
308,let,128
309,such,127
310,strong,127
311,luck,127
312,jeb,126
313,lot,126
314,open,126
315,media,125
316,@trumpchicago,125
317,put,124
318,wants,123
319,polls,122
320,says,122
321,lead,122
322,without,122
323,million,122
324,building,122
